Cumulative emissions of NOx from lightning
t top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
O. A. Sovde, August 2011
Taken from Table 2, Pickering et al., JGR, 1998
 
 For subtropics I use midlatitude  
------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
      10.6369      11.4286      22.9373      22.9373
      10.6507      11.4395      22.9415      22.9415
      10.6645      11.4504      22.9458      22.9458
      10.6783      11.4614      22.9500      22.9500
      10.6920      11.4723      22.9543      22.9543
      10.7058      11.4832      22.9585      22.9585
      10.7196      11.4941      22.9627      22.9627
      10.7333      11.5050      22.9670      22.9670
      10.7471      11.5159      22.9712      22.9712
      10.7609      11.5268      22.9754      22.9754
      10.7747      11.5377      22.9797      22.9797
      10.7884      11.5486      22.9839      22.9839
      10.8022      11.5595      22.9882      22.9882
      10.8160      11.5704      22.9924      22.9924
      10.8297      11.5813      22.9966      22.9966
      10.8435      11.5922      23.0009      23.0009
      10.8573      11.6031      23.0051      23.0051
      10.8711      11.6140      23.0093      23.0093
      10.8848      11.6250      23.0136      23.0136
      10.8986      11.6359      23.0178      23.0178
      10.9124      11.6468      23.0221      23.0221
      10.9261      11.6577      23.0263      23.0263
      10.9399      11.6686      23.0305      23.0305
      10.9537      11.6795      23.0348      23.0348
      10.9675      11.6904      23.0390      23.0390
      10.9812      11.7013      23.0432      23.0432
      10.9950      11.7122      23.0475      23.0475
      11.0088      11.7231      23.0517      23.0517
      11.0225      11.7340      23.0559      23.0559
      11.0363      11.7449      23.0602      23.0602
      11.0501      11.7558      23.0644      23.0644
      11.0639      11.7667      23.0687      23.0687
      11.0776      11.7776      23.0729      23.0729
      11.0914      11.7886      23.0771      23.0771
      11.1052      11.7995      23.0814      23.0814
      11.1189      11.8104      23.0856      23.0856
      11.1327      11.8213      23.0898      23.0898
      11.1465      11.8322      23.0941      23.0941
      11.1603      11.8431      23.0983      23.0983
      11.1740      11.8540      23.1026      23.1026
      11.1878      11.8649      23.1068      23.1068
      11.2016      11.8758      23.1110      23.1110
      11.2153      11.8867      23.1153      23.1153
      11.2291      11.8976      23.1195      23.1195
      11.2429      11.9085      23.1237      23.1237
      11.2567      11.9194      23.1280      23.1280
      11.2701      11.9296      23.1333      23.1333
      11.2828      11.9379      23.1413      23.1413
      11.2955      11.9462      23.1492      23.1492
      11.3083      11.9545      23.1571      23.1571
      11.3210      11.9628      23.1651      23.1651
      11.3337      11.9711      23.1730      23.1730
      11.3464      11.9794      23.1810      23.1810
      11.3591      11.9877      23.1889      23.1889
      11.3718      11.9961      23.1969      23.1969
      11.3845      12.0044      23.2048      23.2048
      11.3972      12.0127      23.2128      23.2128
      11.4100      12.0210      23.2207      23.2207
      11.4227      12.0293      23.2287      23.2287
      11.4354      12.0376      23.2366      23.2366
      11.4481      12.0459      23.2445      23.2445
      11.4608      12.0542      23.2525      23.2525
      11.4735      12.0625      23.2604      23.2604
      11.4862      12.0708      23.2684      23.2684
      11.4989      12.0792      23.2763      23.2763
      11.5116      12.0875      23.2843      23.2843
      11.5244      12.0958      23.2922      23.2922
      11.5371      12.1041      23.3002      23.3002
      11.5498      12.1124      23.3081      23.3081
      11.5625      12.1207      23.3160      23.3160
      11.5752      12.1290      23.3240      23.3240
      11.5879      12.1373      23.3319      23.3319
      11.6006      12.1456      23.3399      23.3399
      11.6133      12.1539      23.3478      23.3478
      11.6261      12.1623      23.3558      23.3558
      11.6388      12.1706      23.3637      23.3637
      11.6515      12.1789      23.3717      23.3717
      11.6642      12.1872      23.3796      23.3796
      11.6769      12.1955      23.3876      23.3876
      11.6896      12.2038      23.3955      23.3955
      11.7023      12.2121      23.4034      23.4034
      11.7150      12.2204      23.4114      23.4114
      11.7278      12.2287      23.4193      23.4193
      11.7405      12.2370      23.4273      23.4273
      11.7532      12.2454      23.4352      23.4352
      11.7659      12.2537      23.4432      23.4432
      11.7786      12.2620      23.4511      23.4511
      11.7913      12.2703      23.4591      23.4591
      11.8040      12.2786      23.4670      23.4670
      11.8167      12.2869      23.4749      23.4749
      11.8295      12.2952      23.4829      23.4829
      11.8422      12.3035      23.4908      23.4908
      11.8549      12.3118      23.4988      23.4988
      11.8676      12.3201      23.5067      23.5067
      11.8803      12.3285      23.5147      23.5147
      11.8930      12.3368      23.5226      23.5226
      11.9057      12.3451      23.5306      23.5306
      11.9184      12.3534      23.5385      23.5385
      11.9311      12.3617      23.5465      23.5465
      11.9439      12.3700      23.5544      23.5544
      11.9566      12.3783      23.5623      23.5623
      11.9693      12.3866      23.5703      23.5703
      11.9820      12.3949      23.5782      23.5782
