Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       1.7385       0.5795       4.6429       2.3766
       1.7465       0.5822       4.6648       2.3871
       1.7544       0.5848       4.6867       2.3976
       1.7624       0.5875       4.7085       2.4081
       1.7704       0.5901       4.7304       2.4186
       1.7783       0.5928       4.7523       2.4291
       1.7863       0.5954       4.7742       2.4396
       1.7943       0.5981       4.7961       2.4501
       1.8023       0.6008       4.8179       2.4606
       1.8102       0.6034       4.8398       2.4711
       1.8182       0.6061       4.8617       2.4816
       1.8262       0.6087       4.8836       2.4921
       1.8341       0.6114       4.9055       2.5026
       1.8421       0.6140       4.9274       2.5131
       1.8501       0.6167       4.9492       2.5236
       1.8580       0.6193       4.9711       2.5341
       1.8660       0.6220       4.9930       2.5446
       1.8740       0.6247       5.0149       2.5551
       1.8820       0.6273       5.0368       2.5656
       1.8899       0.6300       5.0586       2.5761
       1.8979       0.6326       5.0805       2.5867
       1.9059       0.6353       5.1024       2.5972
       1.9138       0.6379       5.1243       2.6077
       1.9218       0.6406       5.1462       2.6182
       1.9298       0.6433       5.1681       2.6287
       1.9378       0.6459       5.1899       2.6392
       1.9457       0.6486       5.2118       2.6497
       1.9537       0.6512       5.2337       2.6602
       1.9617       0.6539       5.2556       2.6707
       1.9696       0.6565       5.2775       2.6812
       1.9776       0.6592       5.2993       2.6917
       1.9856       0.6619       5.3212       2.7022
       1.9936       0.6645       5.3431       2.7127
       2.0015       0.6672       5.3650       2.7232
       2.0095       0.6698       5.3869       2.7337
       2.0175       0.6725       5.4088       2.7442
       2.0254       0.6751       5.4306       2.7547
       2.0334       0.6778       5.4525       2.7652
       2.0414       0.6805       5.4744       2.7757
       2.0494       0.6831       5.4963       2.7862
       2.0573       0.6858       5.5182       2.7967
       2.0653       0.6884       5.5400       2.8072
       2.0733       0.6911       5.5619       2.8177
       2.0812       0.6937       5.5838       2.8282
       2.0892       0.6964       5.6057       2.8387
       2.0972       0.6991       5.6276       2.8492
       2.1100       0.7021       5.6495       2.8597
       2.1254       0.7053       5.6713       2.8702
       2.1408       0.7084       5.6932       2.8807
       2.1562       0.7116       5.7151       2.8912
       2.1716       0.7148       5.7370       2.9018
       2.1870       0.7180       5.7589       2.9123
       2.2024       0.7212       5.7807       2.9228
       2.2178       0.7244       5.8026       2.9333
       2.2333       0.7276       5.8245       2.9438
       2.2487       0.7308       5.8464       2.9543
       2.2641       0.7339       5.8683       2.9648
       2.2795       0.7371       5.8902       2.9753
       2.2949       0.7403       5.9120       2.9858
       2.3103       0.7435       5.9339       2.9963
       2.3257       0.7467       5.9558       3.0068
       2.3411       0.7499       5.9777       3.0173
       2.3565       0.7531       5.9996       3.0278
       2.3720       0.7563       6.0214       3.0383
       2.3874       0.7595       6.0433       3.0488
       2.4028       0.7626       6.0652       3.0593
       2.4182       0.7658       6.0871       3.0698
       2.4336       0.7690       6.1090       3.0803
       2.4490       0.7722       6.1309       3.0908
       2.4644       0.7754       6.1527       3.1024
       2.4798       0.7786       6.1746       3.1219
       2.4952       0.7818       6.1965       3.1415
       2.5107       0.7850       6.2184       3.1610
       2.5261       0.7882       6.2403       3.1805
       2.5415       0.7913       6.2621       3.2000
       2.5569       0.7945       6.2840       3.2195
       2.5723       0.7977       6.3059       3.2390
       2.5877       0.8009       6.3278       3.2585
       2.6031       0.8041       6.3497       3.2780
       2.6185       0.8073       6.3716       3.2975
       2.6339       0.8105       6.3934       3.3170
       2.6494       0.8137       6.4153       3.3365
       2.6648       0.8168       6.4372       3.3560
       2.6802       0.8200       6.4591       3.3755
       2.6956       0.8232       6.4810       3.3950
       2.7110       0.8264       6.5028       3.4145
       2.7264       0.8296       6.5247       3.4340
       2.7418       0.8328       6.5466       3.4535
       2.7572       0.8360       6.5685       3.4731
       2.7726       0.8392       6.5904       3.4926
       2.7881       0.8424       6.6123       3.5121
       2.8035       0.8455       6.6341       3.5316
       2.8189       0.8487       6.6560       3.5511
       2.8343       0.8519       6.6779       3.5706
       2.8497       0.8551       6.6998       3.5901
       2.8651       0.8583       6.7217       3.6096
       2.8805       0.8615       6.7435       3.6291
       2.8959       0.8647       6.7654       3.6486
       2.9113       0.8679       6.7873       3.6681
       2.9268       0.8711       6.8092       3.6876
       2.9422       0.8742       6.8311       3.7071
       2.9576       0.8774       6.8530       3.7266
       2.9730       0.8806       6.8748       3.7461
       2.9884       0.8838       6.8967       3.7656
       3.0038       0.8870       6.9186       3.7852
       3.0192       0.8902       6.9405       3.8047
       3.0346       0.8934       6.9624       3.8242
       3.0500       0.8966       6.9842       3.8437
       3.0655       0.8997       7.0061       3.8632
       3.0809       0.9029       7.0280       3.8827
       3.0963       0.9061       7.0499       3.9022
       3.1117       0.9093       7.0718       3.9217
       3.1271       0.9125       7.0937       3.9412
       3.1425       0.9157       7.1155       3.9607
       3.1579       0.9189       7.1374       3.9802
       3.1733       0.9221       7.1593       3.9997
       3.1887       0.9253       7.1812       4.0192
       3.2042       0.9284       7.2031       4.0387
       3.2196       0.9316       7.2249       4.0582
       3.2350       0.9348       7.2468       4.0777
       3.2504       0.9380       7.2687       4.0972
       3.2658       0.9412       7.2906       4.1168
       3.2812       0.9444       7.3125       4.1363
       3.2966       0.9476       7.3344       4.1558
       3.3120       0.9508       7.3562       4.1753
       3.3274       0.9540       7.3781       4.1948
